id,name,artist_credit,platform,type,first_release_date_year
613674,"Carl and the Passions: â€œSo Toughâ€ / Holland",1135,Compilation,Album,2000
630205,"Three From the Vault",1528,Live,Album,2007
630931,"A Funny Thing Happened on the Way to the Forum",1121645,Soundtrack,Album,1998
636212,"The Lives of Others",897588,Soundtrack,Album,2007
640240,"Instant Karma: Allâ€Time Greatest Hits",815,Compilation,Album,2001
642412,"The Red Violin",119192,Soundtrack,Album,1999
642600,"Fame: The Original Soundtrack from the Motion Picture",30765,Soundtrack,Album,1980
642938,"In the Movies",166,Compilation,Album,2007
643293,"Good Vibrations: Thirty Years of the Beach Boys",1135,Compilation,Album,1993
647146,"Gone With the Wind",4364,Soundtrack,Album,1972
649918,"Annie Get Your Gun",4352,Soundtrack,Album,1966
651148,"Complete Clapton",938,Compilation,Album,2007
660023,"Per un pugno di dollari",2997,Soundtrack,Album,1967
671827,"The Yardbirds: Featuring Performances by Jeff Beck, Eric Clapton, Jimmy Page",38093,Compilation,Album,1970
677326,"Greatest Hits",12349,Compilation,Album,2006
678269,"M.I.U. Album / L.A. (Light Album)",1135,Compilation,Album,2000
681038,BuzzCuts,1,Compilation,Album,2007
684780,"Lady and the Tramp",285815,Soundtrack,Album,1962
685973,"Thatâ€™s Entertainment! The Ultimate Anthology of Mâ€Gâ€M Musicals",1,Compilation,Album,1995
692718,"Live in Pittsburgh 1970",1757,Live,Album,2008
698869,"Baby Bach",2362668,Compilation,Album,1999
705417,"Singin' to My Baby / Never to Be Forgotten",16187,Compilation,Album,1993
708275,"A Young Personâ€™s Guide to King Crimson",2259,Compilation,Album,1975
714136,"The Condensed 21st Century Guide to King Crimson: 1969â€“2003",2259,Compilation,Album,2006
720667,"Those Were Our Songs: Music of World War II",1,Compilation,Album,2001
736354,"Celtic Dance",1,Compilation,Album,2000
736910,"Thatâ€™s Entertainment! The Best of the Mâ€Gâ€M Musicals",1,Compilation,Album,1996
743523,"Star Wars: The Clone Wars",1598408,Soundtrack,Album,2008
745907,çªç ´ç²¾é¸,207513,Compilation,Album,1982
747462,"Africa Remix: Contemporary Music of a Continent (Ah Freak Iya)",1,Compilation,Album,2005
756874,"The 4 Seasonsâ€™ Gold Vault of Hits",869186,Compilation,Album,1965
761159,Hairspray,1716339,Soundtrack,Album,2007
772345,"DÃ©jÃ  Vu Live",11058,Live,Album,2008
774488,"Live at the Matrix 1967",1757,Live,Album,2008
786172,"My Love: Essential Collection",139,Compilation,Album,2008
787558,Works,191,Compilation,Album,1983
793456,"Câ€™era una volta il West",2997,Soundtrack,Album,1970
794512,"Absolutely Live",1757,Live,Album,1970
794630,"Homecoming 1945",1,Compilation,Album,1988
795950,"The Worldâ€™s Most Beautiful Melodies: That Christmas Feeling",1,Compilation,Album,1998
817849,"The Purple Tape Instrumentals",49983,Compilation,Album,2008
830331,"Merry Christmas",1539,Compilation,Album,1984
834881,"To Terrapin: Hartford '77",1528,Live,Album,2009
838617,"Summer Love Songs",1135,Compilation,Album,2009
840377,Duplicity,3884,Soundtrack,Album,2009
852117,"Baz Luhrmannâ€™s Production of Pucciniâ€™s La BohÃ¨me on Broadway (Original Cast Recording)",9860,Soundtrack,Album,2002
853678,"Road Trips, Volume 2, No. 2: Carousel 2-14-68",1528,Live,Album,2009
858791,"Kecak: A Balinese Music Drama",1309186,Live,Album,1990
863215,"Snow White and the Seven Dwarfs",157086,Soundtrack,Album,1938
881003,"Playlist: The Very Best of Wuâ€Tang Clan",938398,Compilation,Album,2009
888384,"Winterland June 1977: The Complete Recordings",1528,Live,Album,2009
889320,"Road Trips, Volume 2, No. 4: Cal Expo '93",1528,Live,Album,2009
892726,"Live in New York",1757,Live,Album,2009
902465,"Before Night Falls",1033220,Soundtrack,Album,2001
907766,"I Walk the Line",387,Soundtrack,Album,1970
908350,"Early Seger, Vol. 1",9272,Compilation,Album,2009
