id,release,format,artist_credit,release_group,language
23359,23359,CD,21830,71825,English
23418,23418,CD,12389,40782,English
23439,23439,CD,11619,22717,English
23650,23650,CD,10574,20481,English
23654,23654,"Hybrid SACD (CD layer)",347,19215,English
23655,23654,"Hybrid SACD (CD layer)",347,19215,English
24014,24014,CD,33563,145649,English
24023,24023,CD,2591,350426,English
24190,24190,CD,993,1116134,English
24210,24210,CD-R,2386031,222052,English
24237,24237,CD,2735,4918,English
24258,24258,CD,12395,43074,English
24403,24403,CD,779,6854,English
24416,24416,CD,21830,30264,English
24421,24421,CD,1089,310459,English
24463,24463,CD,1006,18647,English
24559,24559,CD,1501,41323,English
24826,24826,"Enhanced CD",2562,99416,English
24942,24942,CD,347,242835,English
24993,24993,CD,21370,157195,English
25011,25011,CD,33895,201419,English
25049,25049,CD,47532,166214,English
25180,25180,CD,40959,79824,English
25534,25534,"12" Vinyl",36676,56244,English
25602,25602,CD,1112,52553,English
25774,25774,CD,89,44102,English
25909,25909,CD,1,80250,English
25950,25950,CD,1,291495,English
26001,26001,CD,830742,315161,"[Multiple languages]"
26207,26207,CD,94380,67323,English
26264,26264,CD,42820,316716,English
26266,26266,CD,42820,122578,English
26342,26344,CD,12103,396255,English
26343,26344,CD,12103,396255,English
26344,26344,CD,12103,396255,English
26345,26344,CD,12103,396255,English
26377,26377,CD,779,894084,English
26378,26378,CD,779,54079,English
26624,26626,CD,2109602,204950,Spanish
26626,26626,CD,2109602,204950,Spanish
26854,26854,CD,1605,106370,English
27083,27083,CD,2417,95104,English
27089,27089,CD,1020,586978,English
27091,450788,CD,1020,586978,English
27110,27110,CD,1126,35965,English
27111,27111,CD,1126,36922,English
27117,27117,CD,3544,6468,English
27185,27185,CD,317,808522,English
27224,27224,CD,2233483,98118,English
27235,27235,CD,255,98249,English
27245,27245,CD,163,53500,English
27252,27252,CD,163,84754,English
27253,27252,CD,163,84754,English
27254,27254,CD,163,247664,English
27255,27254,CD,163,247664,English
27337,27337,CD,2429,318116,English
27371,27371,CD,61696,104627,English
27395,27395,CD,10302,40713,English
27405,27405,CD,10302,23034,English
27452,27452,CD,38153,184450,English
27481,27481,CD,2869,154451,English
27578,27578,CD,56574,91975,English
27619,27619,CD,1,150685,English
27715,27715,CD,1,325637,"[Multiple languages]"
27771,27771,CD,399742,212414,English
27772,27772,"12" Vinyl",399742,212414,English
27793,27793,"10" Vinyl",9185,240585,English
27945,27945,CD,2781,104756,English
28000,28000,CD,131047,312385,English
28227,28227,CD,139031,320110,English
28258,28258,"Copy Control CD",118474,320201,French
28288,28288,CD,380,101407,English
28419,28419,CD,249,98967,English
28430,28430,CD,9704,288335,German
28462,28462,CD,9606,140830,English
28659,28659,"12" Vinyl",2259,43671,English
28754,28754,CD,11553,51427,English
29002,29002,CD,3286,49635,English
29003,29003,CD,3286,36745,English
29089,29089,"DualDisc (CD side)",347,368943,English
29142,29142,CD,1060,909207,English
29143,29143,CD,1060,47361,English
29257,29257,CD,846,150538,English
29258,29258,CD,9193,38480,English
29277,29277,CD,9193,83979,English
29300,29300,CD,1,242375,English
29328,29328,CD,3139,104316,English
29331,29331,CD,164813,252503,"[Multiple languages]"
29334,29334,CD,1660,309448,English
29449,29449,CD,11553,322868,English
29459,29459,CD,220038,322886,English
29664,29664,CD,1,243570,English
29671,29671,CD,1,91478,English
29696,29696,CD,1,162662,English
29697,29696,CD,1,162662,English
29700,29700,CD,1,234152,English
29701,29700,CD,1,234152,English
29704,29704,CD,1,83732,English
29705,29704,CD,1,83732,English
29764,29764,CD,23,236691,English
29787,29787,CD,128761,189719,English
29794,29794,CD,11935,50885,English
29932,29932,CD,48952,323683,English
30005,30005,CD,144402,623693,English
30200,30200,CD,1968,224151,English
30385,27715,CD,1,325637,"[Multiple languages]"
30412,30412,"Copy Control CD",9235,324906,English
30428,30428,CD,9235,177413,English
30613,30613,CD,1047854,113388,English
30614,30613,CD,1047854,113388,English
30662,48577,CD,176,316617,English
30663,30663,CD,176,316617,English
30669,30669,"Enhanced CD",2147,312852,English
30682,27715,CD,1,325637,"[Multiple languages]"
30825,30825,"12" Vinyl",22351,130208,English
30834,30834,CD,22351,685196,English
