artist_id,genre,count
10239,classical,2
11854,"hip hop",2
12299,classical,2
15941,folk,1
16140,classical,1
16518,bluegrass,1
21416,pop,1
21416,country,1
21688,"hip hop",2
23247,filk,1
23678,classical,2
23678,opera,1
24241,classical,2
30469,folk,1
32228,classical,2
32266,classical,1
34754,jazz,1
34754,"big band",1
35917,country,1
35917,"country pop",1
35917,"christmas music",1
36683,classical,1
36683,opera,1
37740,classical,3
37740,opera,1
41094,classical,2
42495,orchestral,1
45573,classical,1
47712,emo,1
47712,post-hardcore,2
48384,"hip hop",1
48384,"pop rap",0
48384,"jazz rap",1
48384,"conscious hip hop",2
48384,"east coast hip hop",1
49273,classical,1
49628,classical,1
50527,classical,1
50527,jazz,1
52672,country,1
52743,indie,1
60490,classical,1
63671,classical,1
64825,"spoken word",1
64981,classical,4
64981,orchestral,1
64981,symphony,1
64981,"modern classical",1
71102,classical,2
75554,classical,2
100418,classical,2
114087,classical,1
119255,classical,1
119255,jazz,1
119255,opera,1
125970,classical,2
130808,classical,3
132084,classical,2
135425,classical,2
159481,soul,1
186889,classical,1
189169,"modern classical",1
190235,classical,1
190235,"modern classical",1
192850,classical,1
195779,jazz-funk,1
202067,ambient,1
202067,"modern classical",1
213521,"hip hop",1
222194,classical,1
233279,classical,1
236201,classical,1
236205,classical,2
236231,classical,2
236802,classical,1
236804,classical,1
238197,classical,1
238337,classical,1
238351,classical,1
240878,classical,1
242219,classical,1
242340,classical,1
243527,classical,1
249464,classical,1
254653,classical,1
254671,classical,1
258318,classical,1
259641,classical,1
260379,classical,1
271572,classical,2
271581,classical,1
274289,classical,1
274509,classical,1
275359,classical,1
277063,classical,2
278722,classical,1
278838,classical,1
278838,opera,1
279436,classical,1
283545,grime,2
288343,classical,1
289817,classical,1
303190,classical,2
303196,classical,1
307469,classical,1
316477,folk,0
316477,bluegrass,2
316477,country,0
317762,classical,1
333279,classical,1
333580,opera,1
336670,classical,1
341842,folk,1
341842,"indie folk",1
344788,classical,1
345158,classical,1
348056,classical,1
349237,classical,1
351068,classical,1
353215,classical,2
358966,classical,1
360799,classical,2
379514,dubstep,1
379514,"pop soul",1
382009,pop,1
382009,electronica,1
382009,soul,1
382009,electropop,1
382009,disco,1
382009,dance-pop,1
382009,r&b,1
391023,classical,1
391633,classical,2
394456,classical,1
400211,classical,1
402875,classical,1
402950,classical,1
404263,classical,1
405774,classical,1
408346,classical,1
421175,classical,1
427828,classical,1
432590,classical,1
438914,classical,1
444096,classical,2
444586,classical,1
446010,classical,1
446010,baroque,1
450607,classical,1
450619,classical,1
452937,classical,1
459665,classical,1
465529,classical,1
466430,folk,2
481187,classical,2
481187,orchestral,0
486113,jazz,1
