album_id,genre
38761,rock
38761,"heavy metal"
38761,"hard rock"
38761,"arena rock"
38761,rock
38761,rock
38775,"pop rock"
38775,rock
38775,blues
38775,"psychedelic rock"
38775,"blues rock"
38775,"classic rock"
38775,"pop rock"
38775,"rock and roll"
38775,rock
38775,rock
38775,"classic rock"
38775,"pop rock"
38775,"rock and roll"
38775,rock
38775,rock
38775,blues
38775,"classic rock"
38775,"blues rock"
38775,"classic rock"
38775,"blues rock"
38775,"rock and roll"
38775,blues
38775,blues
38888,pop
38888,funk
38888,pop
38888,rock
38888,pop
38888,"alternative rock"
38888,dance
38888,experimental
38888,"new wave"
38888,funk
38888,soul
38888,dance-pop
38888,"experimental rock"
38888,"pop rock"
38888,"blue-eyed soul"
38888,dance
38888,rock
38888,pop
38888,dance
38888,"new wave"
38888,soul
38888,"blue-eyed soul"
38888,pop
38888,"alternative rock"
38888,experimental
38888,"experimental rock"
39087,"soft rock"
39087,"folk rock"
39087,psychedelic
39087,"folk rock"
39087,"soft rock"
39087,"folk rock"
39246,rock
39246,"hip hop"
39246,reggae
39246,rock
39246,"alternative rock"
39246,"funk metal"
39246,"pop rock"
39246,grunge
39246,"heavy metal"
39246,"funk metal"
39365,rock
39365,rock
39365,"alternative rock"
39489,rock
39489,pop
39489,rock
39489,pop
39489,"soft rock"
39489,rock
39837,rock
39837,electronic
39837,rock
39837,electronic
39837,"alternative rock"
39837,synth-pop
39837,"alternative dance"
39837,rock
39837,electronic
39837,"alternative rock"
39837,synth-pop
39837,rock
39837,"alternative rock"
39837,synth-pop
39837,"alternative dance"
39837,"alternative dance"
39837,"alternative dance"
39837,electronic
39837,pop
39837,"alternative rock"
39837,"alternative dance"
39837,rock
39985,rock
39985,"progressive rock"
39985,"psychedelic rock"
39985,"psychedelic rock"
39985,"art rock"
39985,rock
39985,"progressive rock"
39985,"psychedelic rock"
39985,"classic rock"
39985,"psychedelic pop"
39985,"classic rock"
39985,"art rock"
39985,"psychedelic rock"
39985,"classic rock"
39985,"art rock"
40085,rock
40085,"psychedelic rock"
